epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,501.246,0.83137,0.58935,0.98858,0.77078,0.56357,0.63671,0.37874,1.47525,1.0993,1.4308,0.00040505,0.00040505,0.00040505
58,510.165,0.85927,0.58487,1.00694,0.7401,0.73383,0.68791,0.41071,1.45374,1.08768,1.41791,0.000396051,0.000396051,0.000396051
59,518.894,0.85998,0.56945,1.00603,0.74071,0.68304,0.68235,0.40285,1.39367,1.02516,1.42242,0.000387052,0.000387052,0.000387052
60,527.543,0.79509,0.5474,0.95838,0.7099,0.74987,0.73004,0.41699,1.45229,1.08169,1.43874,0.000378053,0.000378053,0.000378053
61,536.36,0.792,0.54216,0.98686,0.74399,0.69292,0.71153,0.41269,1.46044,1.03231,1.44962,0.000369054,0.000369054,0.000369054
62,545.288,0.80566,0.56142,0.97921,0.68637,0.70071,0.67925,0.39118,1.45524,1.0808,1.42223,0.000360055,0.000360055,0.000360055
63,554.783,0.79069,0.55299,0.98683,0.77535,0.61955,0.67318,0.39792,1.44982,1.14875,1.38514,0.000351056,0.000351056,0.000351056
64,563.77,0.80992,0.54846,0.96755,0.82384,0.65429,0.7244,0.44368,1.4083,1.09429,1.39204,0.000342057,0.000342057,0.000342057
65,572.549,0.76652,0.51875,0.96176,0.69248,0.73971,0.7286,0.43359,1.42014,1.06478,1.39943,0.000333058,0.000333058,0.000333058
66,581.342,0.80766,0.53892,0.99332,0.67448,0.67209,0.69793,0.40461,1.41486,1.06844,1.41452,0.000324058,0.000324058,0.000324058
67,590.158,0.77746,0.52961,0.9673,0.72647,0.67472,0.64866,0.36208,1.45769,1.14885,1.44459,0.000315059,0.000315059,0.000315059
68,598.911,0.75566,0.51788,0.95745,0.76992,0.66308,0.63771,0.36516,1.45712,1.14137,1.43082,0.00030606,0.00030606,0.00030606
69,607.729,0.70913,0.49715,0.94083,0.70282,0.67193,0.65872,0.3949,1.43481,1.11158,1.38927,0.000297061,0.000297061,0.000297061
70,616.416,0.76078,0.51803,0.95532,0.79226,0.61882,0.68128,0.40775,1.41068,1.18187,1.35549,0.000288062,0.000288062,0.000288062
71,625.184,0.73368,0.49885,0.96083,0.70596,0.70818,0.70694,0.41988,1.40244,1.13934,1.33414,0.000279063,0.000279063,0.000279063
72,633.912,0.72757,0.48461,0.95193,0.76627,0.70379,0.697,0.43306,1.38101,1.09174,1.32191,0.000270064,0.000270064,0.000270064
73,642.666,0.74174,0.47719,0.95738,0.72925,0.70724,0.69104,0.42018,1.37559,1.05414,1.3499,0.000261065,0.000261065,0.000261065
74,651.599,0.71681,0.47454,0.91722,0.76194,0.66281,0.68558,0.41224,1.46007,1.07437,1.43506,0.000252066,0.000252066,0.000252066
75,660.435,0.69951,0.48157,0.94308,0.77559,0.64314,0.67497,0.4054,1.45714,1.06143,1.46919,0.000243067,0.000243067,0.000243067
76,669.16,0.69565,0.48245,0.94591,0.82161,0.62193,0.66386,0.39232,1.48271,1.0495,1.49412,0.000234068,0.000234068,0.000234068
77,677.988,0.71209,0.46552,0.94539,0.6798,0.71282,0.66151,0.3943,1.45526,1.12625,1.46341,0.000225068,0.000225068,0.000225068
78,686.799,0.69444,0.46296,0.94214,0.75104,0.66042,0.6588,0.40098,1.39992,1.15764,1.41978,0.000216069,0.000216069,0.000216069
79,695.851,0.69169,0.45788,0.93461,0.67575,0.69758,0.6637,0.40598,1.3714,1.12383,1.39231,0.00020707,0.00020707,0.00020707
80,704.672,0.67001,0.44167,0.93346,0.71394,0.71794,0.66769,0.40007,1.37319,1.1418,1.37779,0.000198071,0.000198071,0.000198071
81,713.437,0.65833,0.42859,0.90983,0.71695,0.7055,0.65276,0.39475,1.35353,1.16394,1.38574,0.000189072,0.000189072,0.000189072
82,722.384,0.7031,0.47203,0.96168,0.7462,0.70881,0.66679,0.40571,1.31586,1.18385,1.35884,0.000180073,0.000180073,0.000180073
83,731.067,0.67512,0.46227,0.93163,0.73276,0.68538,0.65167,0.40902,1.32552,1.1807,1.35316,0.000171074,0.000171074,0.000171074
84,739.668,0.70126,0.46375,0.93255,0.77361,0.69143,0.68531,0.39832,1.34917,1.11741,1.37215,0.000162075,0.000162075,0.000162075
