epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,789.921,0.67268,0.44913,0.96276,0.7605,0.5508,0.63897,0.41565,1.40032,1.18469,1.5511,0.000315059,0.000315059,0.000315059
68,801.13,0.62278,0.44386,0.93977,0.77119,0.57734,0.63542,0.41859,1.41927,1.17396,1.55907,0.00030606,0.00030606,0.00030606
69,812.479,0.63125,0.44015,0.95223,0.72089,0.61419,0.63227,0.40073,1.44437,1.19872,1.57611,0.000297061,0.000297061,0.000297061
70,823.72,0.68535,0.46427,0.97238,0.70578,0.63143,0.63547,0.3941,1.50341,1.27981,1.63406,0.000288062,0.000288062,0.000288062
71,835.018,0.63033,0.44041,0.96896,0.78491,0.63018,0.6882,0.41028,1.43311,1.17014,1.60001,0.000279063,0.000279063,0.000279063
72,846.315,0.64576,0.42763,0.95825,0.79971,0.63496,0.70509,0.41737,1.45523,1.07582,1.62799,0.000270064,0.000270064,0.000270064
73,857.562,0.63722,0.42455,0.95629,0.75549,0.70833,0.70253,0.43811,1.48519,1.09239,1.60901,0.000261065,0.000261065,0.000261065
74,868.867,0.62706,0.41756,0.93359,0.73606,0.71597,0.73184,0.44123,1.47518,1.16659,1.58131,0.000252066,0.000252066,0.000252066
75,880.222,0.61677,0.42839,0.96122,0.73588,0.64427,0.69765,0.42433,1.45223,1.07165,1.57659,0.000243067,0.000243067,0.000243067
76,891.629,0.60924,0.41931,0.94918,0.72156,0.61147,0.66481,0.4198,1.48893,1.08066,1.6065,0.000234068,0.000234068,0.000234068
77,902.996,0.64894,0.4367,0.9613,0.69242,0.67915,0.66866,0.4208,1.48317,1.11424,1.62167,0.000225068,0.000225068,0.000225068
78,914.288,0.59079,0.4185,0.95151,0.71826,0.64256,0.66865,0.42789,1.44942,1.11899,1.59417,0.000216069,0.000216069,0.000216069
79,925.658,0.59828,0.40454,0.93472,0.66822,0.6414,0.66623,0.43281,1.44469,1.09857,1.58145,0.00020707,0.00020707,0.00020707
80,937.272,0.63013,0.4088,0.94584,0.70232,0.58786,0.64853,0.42842,1.42458,1.13157,1.56467,0.000198071,0.000198071,0.000198071
81,948.797,0.5668,0.37736,0.91781,0.76597,0.57292,0.64622,0.41768,1.42896,1.17644,1.57007,0.000189072,0.000189072,0.000189072
82,960.177,0.61889,0.42088,0.96377,0.74819,0.69004,0.70373,0.42353,1.40997,1.16641,1.55832,0.000180073,0.000180073,0.000180073
83,971.509,0.59645,0.41343,0.94715,0.67002,0.65782,0.64574,0.42332,1.40727,1.1196,1.5558,0.000171074,0.000171074,0.000171074
84,982.797,0.61153,0.41987,0.93445,0.70632,0.66537,0.68034,0.42779,1.44164,1.09046,1.57985,0.000162075,0.000162075,0.000162075
85,994.072,0.58149,0.38966,0.93305,0.72235,0.65563,0.69345,0.43542,1.43551,1.09627,1.58154,0.000153076,0.000153076,0.000153076
86,1005.32,0.57014,0.38353,0.93029,0.74866,0.70637,0.71641,0.43755,1.398,1.09007,1.55118,0.000144077,0.000144077,0.000144077
87,1016.72,0.56637,0.39884,0.92272,0.75528,0.6593,0.69165,0.43976,1.41198,1.08137,1.56992,0.000135077,0.000135077,0.000135077
88,1028.02,0.56067,0.39299,0.93762,0.77009,0.66283,0.68114,0.43069,1.41916,1.09728,1.57405,0.000126078,0.000126078,0.000126078
89,1039.51,0.58978,0.39963,0.9346,0.81248,0.61782,0.68762,0.43649,1.45485,1.12802,1.59298,0.000117079,0.000117079,0.000117079
90,1051.02,0.56541,0.38496,0.92354,0.73418,0.68226,0.68628,0.43172,1.41753,1.09363,1.59411,0.00010808,0.00010808,0.00010808
91,1076.86,0.50726,0.34922,0.88426,0.77556,0.6061,0.6722,0.42741,1.41801,1.14582,1.59293,9.9081e-05,9.9081e-05,9.9081e-05
92,1088.09,0.52889,0.33685,0.90511,0.64437,0.63556,0.64294,0.4111,1.43266,1.16822,1.61083,9.00819e-05,9.00819e-05,9.00819e-05
93,1099.43,0.50671,0.33222,0.88974,0.77197,0.66401,0.70458,0.41998,1.4415,1.12165,1.62639,8.10828e-05,8.10828e-05,8.10828e-05
94,1110.74,0.47668,0.31271,0.87741,0.78026,0.64282,0.69599,0.43443,1.41862,1.12695,1.61248,7.20837e-05,7.20837e-05,7.20837e-05
95,1121.85,0.48598,0.3078,0.88564,0.76795,0.65327,0.71108,0.44099,1.40494,1.14828,1.6108,6.30846e-05,6.30846e-05,6.30846e-05
96,1133.36,0.48156,0.30472,0.88098,0.77351,0.64646,0.71715,0.44015,1.40693,1.15405,1.60877,5.40855e-05,5.40855e-05,5.40855e-05
97,1144.69,0.48173,0.30127,0.88876,0.76966,0.64306,0.70901,0.43976,1.40713,1.18266,1.59481,4.50864e-05,4.50864e-05,4.50864e-05
98,1155.91,0.47186,0.31152,0.88246,0.75054,0.62612,0.70768,0.43849,1.40671,1.15651,1.60141,3.60873e-05,3.60873e-05,3.60873e-05
99,1167.35,0.45816,0.30719,0.87034,0.79482,0.63378,0.7123,0.43622,1.40687,1.1797,1.60324,2.70882e-05,2.70882e-05,2.70882e-05
100,1178.72,0.48818,0.304,0.90019,0.80081,0.63256,0.71343,0.43584,1.3973,1.18109,1.59587,1.80891e-05,1.80891e-05,1.80891e-05
